
5段階評価,1		過去（2年より前）に観た
,2		最近（2年以内）観た
,3		観たことはないが、今後観てみたい
,4		観たことはなく、今後観てみたいか観てみたくないか分からない
,5		観たことはないし、今後も観てみたいとは思わない


,,映画の点数,５段階評価
4位,スター・ウォーズ,0.265714,4
5位,走れメロス,0.165714,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

485人目への推薦結果
1位,ラストサムライ,0.782609,3
2位,禁じられた遊び,0.408696,4
3位,アポロ13,0.249275,4
4位,マトリックス・レボリューションズ,0.208696,3
5位,天空の城ラピュタ,0.202174,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

486人目への推薦結果
1位,ラストサムライ,0.811688,5
2位,アナザヘヴン,0.734199,5
3位,アイ.ロボット,0.480519,5
4位,禁じられた遊び,0.325541,4
5位,2001年宇宙の旅,0.174459,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

487人目への推薦結果
1位,アイ.ロボット,0.600000,5
2位,バトル・ロワイアル,0.600000,5
3位,オペラ座の怪人,0.584615,5
4位,ターミネーター2,0.307692,5
5位,ラストサムライ,0.161538,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

488人目への推薦結果
1位,ラストサムライ,1.262100,3
2位,アイ.ロボット,0.405479,3
3位,スター・ウォーズ,0.398174,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.398174,3
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.398174,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

489人目への推薦結果
1位,ラストサムライ,1.113750,5
2位,ターミネーター2,0.300000,3
3位,スター・ウォーズ エピソード3/シスの復讐,0.258333,5
4位,走れメロス,0.131250,3
5位,パラサイト・イヴ,0.120000,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

490人目への推薦結果
1位,ラストサムライ,1.090909,4
2位,アナザヘヴン,0.642424,4
3位,マトリックス・レボリューションズ,0.290909,4
4位,禁じられた遊び,0.284848,4
5位,天空の城ラピュタ,0.281818,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

491人目への推薦結果
1位,スター・ウォーズ エピソード3/シスの復讐,0.252326,5
2位,ウォーターボーイズ,0.179070,5
3位,ローマの休日,0.162791,3
4位,ショーシャンクの空に,0.139535,5
5位,禁じられた遊び,0.127907,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

492人目への推薦結果
1位,スター・ウォーズ エピソード3/シスの復讐,0.246032,5
2位,スウィングガールズ,0.190476,4
3位,走れメロス,0.160714,4
4位,アポロ13,0.158730,5
5位,砂の器,0.158730,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：60％

493人目への推薦結果
1位,バトル・ロワイアル,0.563399,3
2位,バトル・ロワイアル,0.563399,3
3位,ターミネーター2,0.313725,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.303922,4
5位,スター・ウォーズ,0.303922,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

494人目への推薦結果
1位,バトル・ロワイアル,0.471569,5
2位,バトル・ロワイアル,0.471569,5
3位,禁じられた遊び,0.276471,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.258333,5
5位,天空の城ラピュタ,0.258333,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

495人目への推薦結果
1位,アナザヘヴン,0.673016,5
2位,ラストサムライ,0.647619,3
3位,ターミネーター2,0.476190,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.319048,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.319048,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

496人目への推薦結果
1位,ラストサムライ,1.035802,3
2位,アイ.ロボット,0.586831,5
3位,スター・ウォーズ エピソード3/シスの復讐,0.229630,5
4位,天空の城ラピュタ,0.229630,4
5位,スウィングガールズ,0.172840,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

497人目への推薦結果
1位,スター・ウォーズ エピソード3/シスの復讐,0.273896,4
2位,2001年宇宙の旅,0.273896,3
3位,日本沈没,0.185141,5
4位,走れメロス,0.155422,4
5位,アポロ13,0.140562,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

498人目への推薦結果
1位,ラストサムライ,1.006667,4
2位,アイ.ロボット,0.560000,5
3位,スター・ウォーズ エピソード3/シスの復讐,0.223889,5
4位,スター・ウォーズ,0.223889,4
5位,スウィングガールズ,0.166667,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

499人目への推薦結果
1位,ラストサムライ,0.954839,5
2位,天空の城ラピュタ,0.349462,3
3位,天空の城ラピュタ,0.349462,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.349462,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.349462,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

500人目への推薦結果
1位,アイ.ロボット,0.420455,3
2位,バトル・ロワイアル,0.420455,3
3位,リング0 バースデイ,0.307576,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.199621,5
5位,ウォーターボーイズ,0.141667,5
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：60％

501人目への推薦結果
1位,ラストサムライ,1.643411,3
2位,スター・ウォーズ エピソード3/シスの復讐,0.548062,5
3位,スター・ウォーズ,0.548062,5
4位,禁じられた遊び,0.291473,5
5位,ウォーターボーイズ,0.235659,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

502人目への推薦結果
1位,アナザヘヴン,0.883333,5
2位,ラストサムライ,0.857143,5
3位,水戸黄門 天下の副将軍,0.476190,5
4位,禁じられた遊び,0.391667,4
5位,天空の城ラピュタ,0.221429,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

503人目への推薦結果
1位,ラストサムライ,1.055319,5
2位,アナザヘヴン,0.751773,4
3位,アイ.ロボット,0.419858,5
4位,禁じられた遊び,0.333333,5
5位,天空の城ラピュタ,0.241844,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

504人目への推薦結果
1位,ラストサムライ,0.528302,5
2位,ロッキー,0.433962,3
3位,水戸黄門 天下の副将軍,0.266038,5
4位,スウィングガールズ,0.169811,4
5位,砂の器,0.141509,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

505人目への推薦結果
1位,オペラ座の怪人,0.494545,5
2位,バトル・ロワイアル,0.403636,5
3位,リング0 バースデイ,0.281212,5
4位,マトリックス・レボリューションズ,0.232727,5
5位,天空の城ラピュタ,0.225455,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

506人目への推薦結果
1位,ターミネーター2,0.376812,5
2位,スター・ウォーズ エピソード2/クローンの攻撃,0.269565,3
3位,スター・ウォーズ,0.269565,4
4位,走れメロス,0.153623,4
5位,パラサイト・イヴ,0.129469,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

507人目への推薦結果
1位,ラストサムライ,0.867470,5
2位,ターミネーター2,0.313253,4
3位,スター・ウォーズ,0.224096,4
4位,ウォーターボーイズ,0.159036,3
5位,禁じられた遊び,0.123695,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

508人目への推薦結果
1位,ラストサムライ,1.181579,4
2位,アナザヘヴン,0.743860,4
3位,オペラ座の怪人,0.563158,4
4位,アイ.ロボット,0.454386,4
5位,バトル・ロワイアル,0.454386,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

509人目への推薦結果
1位,ラストサムライ,1.084286,5
2位,アイ.ロボット,0.636190,5
3位,2001年宇宙の旅,0.236190,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.236190,4
5位,スター・ウォーズ エピソード3/シスの復讐,0.236190,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

510人目への推薦結果
1位,ラストサムライ,0.782609,3
2位,水戸黄門 天下の副将軍,0.374638,4
3位,リング0 バースデイ,0.336232,3
4位,スウィングガールズ,0.239130,3
5位,2001年宇宙の旅,0.202174,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

511人目への推薦結果
1位,アナザヘヴン,0.763964,4
2位,ターミネーター2,0.378378,3
3位,禁じられた遊び,0.338739,5
4位,アポロ13,0.199099,5
5位,リング0 バースデイ,0.180180,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

512人目への推薦結果
1位,ラストサムライ,0.720000,4
2位,ターミネーター2,0.400000,5
3位,リング0 バースデイ,0.309333,4
4位,マトリックス・レボリューションズ,0.192000,4
5位,2001年宇宙の旅,0.186000,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：80％

513人目への推薦結果
1位,ラストサムライ,0.740000,5
2位,オペラ座の怪人,0.561667,5
3位,アイ.ロボット,0.493333,5
4位,バトル・ロワイアル,0.493333,5
5位,禁じられた遊び,0.391667,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

514人目への推薦結果
1位,鉄道員,0.130392,3
2位,パラサイト・イヴ,0.118954,5
3位,マトリックス,0.065359,3
4位,7月4日に生まれて,0.052288,3
5位,ルパン三世 カリオストロの城,0.052288,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

515人目への推薦結果
1位,ラストサムライ,1.064368,5
2位,オペラ座の怪人,0.608429,4
3位,禁じられた遊び,0.270115,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.237548,5
5位,水戸黄門 天下の副将軍,0.212644,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

516人目への推薦結果
1位,リング0 バースデイ,0.570968,4
2位,アナザヘヴン,0.569892,4
3位,アイ.ロボット,0.477419,4
4位,バトル・ロワイアル,0.477419,4
5位,禁じられた遊び,0.418280,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

517人目への推薦結果
1位,2001年宇宙の旅,0.238462,3
2位,スター・ウォーズ エピソード3/シスの復讐,0.238462,4
3位,スター・ウォーズ,0.238462,3
4位,スウィングガールズ,0.192308,3
5位,砂の器,0.160256,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

518人目への推薦結果
1位,ラストサムライ,0.833333,5
2位,アナザヘヴン,0.588889,4
3位,禁じられた遊び,0.398611,5
4位,マトリックス・レボリューションズ,0.222222,4
5位,スター・ウォーズ,0.215278,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：60％

519人目への推薦結果
1位,ラストサムライ,0.934884,4
2位,ターミネーター2,0.465116,5
3位,オペラ座の怪人,0.430233,4
4位,アイ.ロボット,0.390698,5
5位,スター・ウォーズ,0.216279,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：60％

520人目への推薦結果
1位,ラストサムライ,0.923077,3
2位,禁じられた遊び,0.241026,4
3位,2001年宇宙の旅,0.238462,3
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.238462,3
5位,スター・ウォーズ エピソード3/シスの復讐,0.238462,5
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：80％

521人目への推薦結果
1位,アナザヘヴン,0.785185,4
2位,ラストサムライ,0.503704,3
3位,禁じられた遊び,0.348148,5
4位,プライベート・ライアン,0.266667,3
5位,スター・ウォーズ,0.248148,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

522人目への推薦結果
1位,ラストサムライ,1.305263,5
2位,バトル・ロワイアル,0.519298,4
3位,バトル・ロワイアル,0.519298,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.299123,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.299123,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

523人目への推薦結果
1位,ラストサムライ,1.044186,4
2位,アイ.ロボット,0.401550,4
3位,リング0 バースデイ,0.359690,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.240310,3
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.240310,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

524人目への推薦結果
1位,ラストサムライ,0.916901,4
2位,水戸黄門 天下の副将軍,0.242723,5
3位,スター・ウォーズ エピソード3/シスの復讐,0.203756,4
4位,日本沈没,0.168545,3
5位,スウィングガールズ,0.154930,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

525人目への推薦結果
1位,天空の城ラピュタ,0.204264,4
2位,天空の城ラピュタ,0.204264,4
3位,スウィングガールズ,0.174419,3
4位,アポロ13,0.145349,5
5位,砂の器,0.145349,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

526人目への推薦結果
1位,ラストサムライ,0.871795,4
2位,水戸黄門 天下の副将軍,0.281197,3
3位,スター・ウォーズ,0.225214,3
4位,ウォーターボーイズ,0.159829,3
5位,ショーシャンクの空に,0.153846,4
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

527人目への推薦結果
1位,アイ.ロボット,0.512037,5
2位,バトル・ロワイアル,0.512037,3
3位,スター・ウォーズ エピソード3/シスの復讐,0.272685,5
4位,日本沈没,0.176389,3
5位,スウィングガールズ,0.166667,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

528人目への推薦結果
1位,アナザヘヴン,0.649808,3
2位,スター・ウォーズ,0.225670,3
3位,スウィングガールズ,0.195402,3
4位,砂の器,0.162835,3
5位,フランケンシュタイン,0.117241,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

529人目への推薦結果
1位,ラストサムライ,0.785714,3
2位,リング0 バースデイ,0.276190,4
3位,マトリックス・レボリューションズ,0.209524,4
4位,スター・ウォーズ エピソード2/クローンの攻撃,0.202976,4
5位,スター・ウォーズ,0.202976,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

530人目への推薦結果
1位,ラストサムライ,0.771084,5
2位,スター・ウォーズ エピソード3/シスの復讐,0.199197,5
3位,ウォーターボーイズ,0.141365,4
4位,アポロ13,0.140562,5
